mes,data,ipca_var_pct,indice_ipca,fator_para_base,base_do_indice
201501,2015-01-01,1.24,101.24,1.8358064240051972,202603
201502,2015-02-01,1.22,102.475128,1.8136795336941287,202603
201503,2015-03-01,1.32,103.82779968960001,1.7900508623116151,202603
201504,2015-04-01,0.71,104.56497706739619,1.7774311014910287,202603
201505,2015-05-01,0.74,105.33875789769492,1.7643747285001277,202603
201506,2015-06-01,0.79,106.17093408508671,1.750545419684619,202603
201507,2015-07-01,0.62,106.82919387641425,1.7397589144152446,202603
201508,2015-08-01,0.22,107.06421810294235,1.7359398467523897,202603
201509,2015-09-01,0.54,107.64236488069825,1.726616119705977,202603
201510,2015-10-01,0.82,108.52503227271997,1.7125730209343157,202603
201511,2015-11-01,1.01,109.62113509867444,1.6954489861739588,202603
201512,2015-12-01,0.96,110.67349799562172,1.6793274427238103,202603
201601,2016-01-01,1.27,112.0790514201661,1.6582674461576088,202603
201602,2016-02-01,0.9,113.08776288294757,1.6434761607112083,202603
201603,2016-03-01,0.43,113.57404026334423,1.6364394709859689,202603
201604,2016-04-01,0.61,114.26684190895062,1.626517712937053,202603
201605,2016-05-01,0.78,115.15812327584045,1.6139290662205326,202603
201606,2016-06-01,0.35,115.5611767073059,1.6083000161639585,202603
201607,2016-07-01,0.52,116.16209482618389,1.5999801195423384,202603
201608,2016-08-01,0.44,116.6732080434191,1.592971046935821,202603
201609,2016-09-01,0.08,116.76654660985382,1.5916976887847931,202603
201610,2016-10-01,0.26,117.07013963103942,1.5875700067671987,202603
201611,2016-11-01,0.18,117.2808658823753,1.584717515239767,202603
201612,2016-12-01,0.3,117.6327084800224,1.5799775824922906,202603
201701,2017-01-01,0.38,118.0797127722465,1.5739963961867807,202603
201702,2017-02-01,0.33,118.46937582439492,1.5688192925214597,202603
201703,2017-03-01,0.25,118.7655492639559,1.564907024959062,202603
201704,2017-04-01,0.14,118.93182103292546,1.5627192180537866,202603
201705,2017-05-01,0.31,119.30050967812753,1.5578897597984114,202603
201706,2017-06-01,-0.23,119.02611850586784,1.5614811664813184,202603
201707,2017-07-01,0.24,119.31178119028192,1.5577425842790487,202603
201708,2017-08-01,0.19,119.53847357454346,1.5547884861553536,202603
201709,2017-09-01,0.16,119.72973513226273,1.552304798477789,202603
201710,2017-10-01,0.42,120.23260001981824,1.5458123864546793,202603
201711,2017-11-01,0.28,120.56925129987373,1.5414961971027914,202603
201712,2017-12-01,0.44,121.09975600559318,1.5347433264663395,202603
201801,2018-01-01,0.29,121.45094529800937,1.5303054406883436,202603
201802,2018-02-01,0.32,121.83958832296302,1.5254240836207569,202603
201803,2018-03-01,0.09,121.94924395245368,1.524052436427972,202603
201804,2018-04-01,0.22,122.21753228914906,1.520706881289136,202603
201805,2018-05-01,0.4,122.70640241830566,1.5146482881365897,202603
201806,2018-06-01,1.26,124.25250308877631,1.4958011931034858,202603
201807,2018-07-01,0.33,124.66253634896928,1.4908812848634363,202603
201808,2018-08-01,-0.09,124.5503400662552,1.4922242867214857,202603
201809,2018-09-01,0.48,125.14818169857323,1.485095826753071,202603
201810,2018-10-01,0.45,125.71134851621679,1.4784428340000708,202603
201811,2018-11-01,-0.21,125.44735468433275,1.4815540976050412,202603
201812,2018-12-01,0.15,125.63552571635925,1.4793350949625972,202603
201901,2019-01-01,0.32,126.03755939865162,1.4746163227298614,202603
201902,2019-02-01,0.43,126.57952090406582,1.468302621457594,202603
201903,2019-03-01,0.75,127.52886731084632,1.4573723289901674,202603
201904,2019-04-01,0.57,128.25578185451815,1.4491123883764219,202603
201905,2019-05-01,0.13,128.422514370929,1.4472309880919025,202603
201906,2019-06-01,0.01,128.4353566223661,1.4470862794639563,202603
201907,2019-07-01,0.19,128.6793837999486,1.4443420296077016,202603
201908,2019-08-01,0.11,128.82093112212857,1.4427549991086817,202603
201909,2019-09-01,-0.04,128.76940274967973,1.4433323320414981,202603
201910,2019-10-01,0.1,128.89817215242937,1.4418904415998988,202603
201911,2019-11-01,0.51,129.55555283040678,1.4345741136204342,202603
201912,2019-12-01,1.15,131.04544168795647,1.4182640767379477,202603
202001,2020-01-01,0.21,131.32063711550117,1.4152919636143577,202603
202002,2020-02-01,0.25,131.6489387082899,1.4117625572213046,202603
202003,2020-03-01,0.07,131.7410929653857,1.4107750147110072,202603
202004,2020-04-01,-0.31,131.332695577193,1.4151620169635943,202603
202005,2020-05-01,-0.38,130.83363133399965,1.4205601455165573,202603
